channel_id,channel_title
UCzmDgodTQWrocz9bL9y_lJA,Passo a Passo Empreendedor
UCIlS7DFg7RcoCKzlQH8xl5w,Daniel - Empreendedorismo Digital
UCygkUIW4yYeRef2LF7Dpqyg,Luh empreendedorismo
UC3y_JuaF8EiyMhY4AyMKvfw,Vida de Empreendedor  2.0
UC3It97nx9LYmxvhI09giOKw,Olimpíada de Empreendedorismo
UCuWHFtNV5i3y0KgqLyeQHCw,Instituto Êxito de Empreendedorismo
UCpTKRW98irz4IWRHhQKYCLQ,Eu SA Escola de Empreendedorismo
UC-X-HZxmDDQ3LZXnolS0CWw,Allman - Gestão e Empreendedorismo
UCf6BRl-2CuNRA6NoRQH6-zA,Bruna - Empreendedorismo
UCFPOMeCSxCUCtR6iczVX9gA,Gringo Empreendedor
UCK6H9r4pxSEDbbG_wC5JD4A,Conexão Empreendedorismo
UCSms9-DYGOLithufig8LFbg,Super Jovem Empreendedorismo
UCi-fpEyXaCtWaGBETguajMQ,Empreendedorismo com Fabiano Cazeca
UCihw6mYKB-MYKswqhxpoxpg,Univali Empreendedorismo
UCojliq9sITQkGNnG0hI0tsA,Empreendedorismo na Rede
UCJjP8l1wPQuMZr7KsbXlxKg,Led Russo Empreendedorismo
UCzUXJH-eWmra_XIp99SK3CA,"Barba, Cabelo e Empreendedorismo"
UCX0ftdr10EOpvDT3c1Ab19w,Miguel Alves Empreendedorismo Digital
UCzzdKm6A8nDDVSXo-KhOq-Q,Empreendedorismo sem chatice
UCgQVKHu8ty24VApc7y4kn2g,To Pra Negócio - Empreendedorismo
