channel_id,channel_title
UC2saJPiH_MiC0GnAKp0tw8A,AS ESPECIALISTAS
UC4byeiNEvQ6-wAzLRXwJF6A,Os Especialistas - Rede 98
UCgkBVhsFu5htSXgK3oWMcMg,Especialistas TKD
UC2kmZvzXh9FaWirQmEEWg_A,Especialistas Del Deporte
UCfb_qG82fCbAAP49HArJRWQ,Os Especialistas
UCL5lFLzpV3GEFfFI1c7ePGA,Liebscher & Bracht | Los especialistas del dolor
UCxTXEwD0mJXT8PsMgjGDTHg,Especialistas en Alisados - 
UCbaGDrGbVAVe8hukryBb6cg,Especialistas
UCcEYCypOmOaK1aDDs0Qlf7w,As Especialistas
UCy-HOk1mcyI9gnEC_Vd1Ilw,Marketing Para Especialistas
UC8xbChovYh-W8y6z8j7QOZA,As Especialistas
UC2V08C42NaYwjQ-v4HCzhzg,Doctores Especialistas
UCfYCcLf_YsZsgYhkVmh_-6Q,Especialistas - Topic
UCRnspxp8pm3SPbceIcLUpjQ,Os Especialistas
UC20irEX4LfEnA-NamBUkeDQ,Os Especialistas
UC5jNxp4_BYjLFTFDRWkkl8g,As Especialistas S.A
UChLL_bXm2HBMpuJXgn3Lszg,REDE DE ESPECIALISTAS-SCI
UC27l03BVaRklX3jA5EWQGkg,Progressio Especialistas
UC63IXtgsbbHTLD6XW8fewgw,Los Especialistas Automotrices
UCa6VwHasxkTGsqQ9f2L6H5w,As Especialistas
