channel_id,channel_title
UCkRvNCdfSP8cbbfDr-8Lx8g,ToonToon Jogos
UCZ_X1jCLGzwwX8ktquTBsng,Jogando Jogos
UCc4fW-lPVc-DASZV_jW8Hsg,Super Jogos
UCc3msPTAvP4_XPMgpCz_h0g,Filmes de Jogos
UC2X22MnKPeLn2fxl-eVnrTA,Covil dos Jogos
UCpwwdox2iSmv9VrHsR4evxA,Defenestrando Jogos
UCMTEVk6HFsuiVg9oIx7bntA,Poeira Jogos
UCYEb5mbKZ5JJzN0xBuKyaig,Canal Sala de Jogos
UCUjT5mgqiLnjocZ80Kqb3YQ,JOGOS DE DAMAS
UC7CPyHRVNk7FZ-y3U8M9i2w,O Rambo dos Jogos
UCYFJvUIIfhIPviiryT45GiA,Zerando Jogos
UCc9uV6Bb6FOgLdUW7kmFbMA,BRW JOGOS
UC0Kt8z6u3cX9WMvcVBdNprQ,Algo Sobre Jogos
UCKuJMq2-atgIbkUm7CIPDMw,Lutch Jogos
UCTviezEsPtGQFRhqgQfEsqg,Quasar Jogos
UC4421rTHOUDaFajeAsDwTRg,Portal dos Jogos
UC6d8v18frxhbf851ty-7g5A,CeD Jogos
UCjPTC7GDR_8YjzhjlyMaCFw,Jogos Mofados
UCWfabMd1RVmT430fpreAnQg,Curto Jogos
UCuD2EclRTT4CBPDbQjTrChg,Jogos Boçais
