channel_id,channel_title
UCZFGxeAZAeAasUqk1RMW6BA,React Rez
UCvxlx0oAlQGH_Lk9Rc8l3mA,Geicy React
UCUaT_39o1x6qWjz7K2pWcgw,Beast Reacts
UCLfq72PiRZ3-vfkHb-cKJlQ,MEU MENGÃO REACT
UCAaVspFDFNYlrWsjL62WYbw,Cátia Flávia REACT
UCpSII__5s3keIqZbAu8TP3w,Família Mengão React
UCGyWQx7rQaN-XBu22prZOfQ,React Kaizen
UCLJRry7NFpNkdhgkqdaIGjQ,React Maneiro │ Duda MaCosta
UC2CBT8IHw9ZL4RjNevC8h0Q,The Boys React
UCI1uQnDSRuNDpM8aunZbdvg,REACT TORCEDORES FC
UC7e_9hVoVRQmaMhZMafjNUg,React Farsi
UC0WXf2vJKGxJtWipuHRZ3zQ,TORMOR React
UCXtEae4_JS7jP-JdbPExfAg,React Super Kamehameha
UCSPgbmRFJQ_IM7jkzgXxuIw,Marcos FLA React
UCqevj42wP_g1-lCYrKAFJFQ,Gahra React
UCkhBs0nJXZywbCTcdGCmgGA,Apenas um react
UCHnd8KvQyMGU0DAlJSuYwhw,Nessaj Reacts
UCuC0xet_C4ypg_oJdgSwV_Q,Edu React
UCNl8uUvh-X0xANU7PjPRLXA,React Morais - Lusofonia é meu vício
UC4O59uf3JnOz5ZkQZQ2GXqg,PIT REACT 
