channel_id,channel_title
UCg8RN3mKwSZQD_Bm7KtydxA,Maravilhas da Tecnologia
UChFYB-m5E_sfl1RjiOkQmAg,Eletrônica e Tecnologia
UCUbGZcHvm0C8BE_dkSHiYZA,Auvo Tecnologia
UCMrXzqrlNgAQrT-RnWvpqVA,Informática & Tecnologia
UCRQjpElGIMSpWmIAPdpQHsA,Instituto Mauá de Tecnologia
UCTu-fjAzFrTsxCddqs3AWEQ,Netrw Tecnologia
UCRBVgZVwOA_TlUhiY6lqWMw,Penso Tecnologia
UCZr2r-LEcM_r8-E3jGAUgHQ,Big Tecnologia
UCN6xszUcYQ_MubDW-Edgmpw,Tecnologia Portuária
UCmIKEn8zuSH8YQ45xxDafQQ,Tecnollar Tecnologia
UCMGz1BaFphRm2S7Lh_hZUKQ,Interweb soluções em tecnologia
UCgqe4p42M2V8RciYDjanpxw,InfoDesvenda Tecnologia
UCtOOJyVgQwRGe5vGdRQDruQ,Solo Tecnologia
UCaTqX4XS-T9Atb7yn_w1Pug,Fred Tecnologia
UCVp7hIFIybiNzqSCZ3Xow3w,Benner Tecnologia
UCDBXOkIjwHZAoFVe-DwQSug,Maniacos Da Tecnologia
UCn3h3UKCjuUB_67GGADX0dw,Tecnologia Mental
UClHCMnj8rTFrU9iOTVfiV7A,Engenharia e Tecnologia
UCfiTDc2ixtXVCBRMsdzhDKw,Vartroy Tecnologia
UCjuL_xtE7NpxtkWbYc89DFA,"Ministério da Ciência, Tecnologia e Inovação"
